student_id,study_hours,attendance_pct,previous_score,assignments_completed,result
1,5.1,63,87,1,0
2,11.5,91,84,4,1
3,9.1,50,91,8,1
4,7.6,88,52,3,1
5,2.7,47,38,5,0
6,2.7,75,41,0,0
7,1.6,77,30,8,0
8,10.5,79,87,0,1
9,7.6,59,30,4,0
10,8.8,74,63,3,1
11,1.2,87,77,2,0
12,11.7,64,30,5,1
13,10.2,74,45,1,1
14,3.3,64,90,2,0
15,3.0,68,93,4,0
16,3.0,57,92,8,1
17,4.3,85,98,1,1
18,6.8,57,51,9,1
19,5.8,41,96,7,1
20,4.2,93,55,1,0
21,7.7,74,45,4,1
22,2.5,55,80,6,0
23,4.2,80,86,7,1
24,5.0,75,58,0,0
25,6.0,72,98,5,1
26,9.6,43,76,0,0
27,3.2,72,91,1,0
28,6.7,53,98,0,0
29,7.5,60,45,4,0
30,1.5,87,77,9,1
31,7.7,59,68,8,1
32,2.9,95,62,5,1
33,1.7,47,52,0,0
34,11.4,46,39,0,0
35,11.6,42,98,1,1
36,9.9,56,63,8,1
37,4.4,72,81,2,0
38,2.1,87,39,0,0
39,8.5,51,48,4,0
40,5.8,98,87,6,1
41,2.3,90,30,5,0
42,6.4,61,98,0,1
43,1.4,94,33,4,0
44,11.0,61,45,4,1
45,3.8,85,53,5,0
46,8.3,69,31,2,0
47,4.4,77,61,4,0
48,6.7,77,53,6,1
49,7.0,84,41,4,1
50,3.0,90,79,4,1
51,11.7,93,64,4,1
52,9.5,47,62,9,1
53,11.3,66,62,9,1
54,10.8,66,90,2,1
55,7.6,73,80,0,1
56,11.1,60,72,4,1
57,2.0,69,41,8,0
58,3.2,72,96,0,0
59,1.5,67,94,2,0
60,4.6,86,62,3,1
61,5.3,72,69,0,0
62,4.0,44,72,0,0
63,10.1,99,73,7,1
64,4.9,87,58,1,0
65,4.1,58,42,7,0
66,7.0,43,41,6,0
67,2.6,74,75,9,1
68,9.8,88,31,9,1
69,1.8,56,64,1,0
70,11.9,83,37,5,1
71,9.5,67,55,5,1
72,3.2,69,63,2,0
73,1.1,68,36,1,0
74,10.0,85,97,0,1
75,8.8,92,87,5,1
76,9.0,45,58,4,1
77,9.5,74,65,8,1
78,1.8,99,50,0,0
79,4.9,80,65,6,1
80,2.3,76,39,4,0
81,10.5,63,53,4,1
82,7.9,68,93,1,1
83,4.6,88,78,2,1
84,1.7,85,65,6,0
85,4.4,92,53,5,1
86,4.6,70,52,1,0
87,9.0,74,91,5,1
88,8.0,99,66,1,1
89,10.8,72,41,1,1
90,6.2,91,84,1,1
91,2.3,60,42,2,0
92,8.8,71,52,1,1
93,9.4,62,59,3,1
94,7.2,72,46,8,1
95,9.5,42,91,5,1
96,6.4,57,42,0,0
97,6.8,64,88,7,1
98,5.7,81,48,6,1
99,1.3,70,78,9,1
100,2.2,93,41,2,0
101,1.3,97,90,0,0
102,8.0,42,48,4,0
103,4.5,79,38,3,0
104,6.6,85,57,9,1
105,11.0,63,81,7,1
106,3.7,89,45,0,0
107,5.5,71,98,9,1
108,9.3,86,41,0,1
109,3.5,61,54,3,0
110,1.8,62,81,7,0
111,4.2,41,82,4,0
112,2.8,66,52,1,0
113,11.2,81,45,5,1
114,9.9,41,86,4,1
115,8.0,65,68,1,1
116,10.6,56,82,2,1
117,9.8,79,71,8,1
118,3.1,72,87,6,1
119,10.8,48,68,6,1
120,6.9,82,43,5,1
121,9.9,93,34,7,1
122,10.9,87,64,3,1
123,4.5,78,47,7,1
124,2.2,68,38,3,0
125,3.5,81,87,7,1
126,5.7,94,46,8,1
127,10.0,65,36,2,1
128,10.5,74,75,2,1
129,1.1,89,42,1,0
130,6.6,64,69,9,1
131,5.6,63,71,2,0
132,3.4,52,38,2,0
133,2.3,99,79,4,1
134,4.7,97,56,4,1
135,11.4,46,95,1,1
136,4.6,96,34,9,1
137,6.7,75,58,5,1
138,8.7,84,66,4,1
139,5.0,59,67,5,0
140,11.7,40,37,0,0
141,11.6,47,94,4,1
142,3.8,85,46,8,1
143,6.5,55,74,9,1
144,4.3,53,33,1,0
145,4.1,51,65,0,0
146,1.4,90,99,9,1
147,7.7,62,60,8,1
148,6.5,54,48,9,1
149,1.6,67,90,8,1
150,4.1,73,83,8,1
151,11.0,41,68,5,1
152,3.6,71,48,7,0
153,2.6,62,68,0,0
154,6.4,61,96,9,1
155,11.8,90,74,3,1
156,3.7,64,42,0,0
157,8.4,97,87,7,1
158,9.4,61,49,0,0
159,3.6,97,90,2,1
160,9.0,97,68,3,1
161,5.0,61,30,7,0
162,8.0,88,32,5,1
163,8.0,91,91,9,1
164,6.9,81,92,6,1
165,2.0,45,54,7,0
166,10.2,54,85,1,1
167,4.5,93,62,9,1
168,3.1,82,67,7,1
169,1.4,99,35,2,0
170,7.5,76,87,6,1
171,8.5,72,73,2,1
172,1.2,47,74,6,0
173,6.6,92,61,1,1
174,3.5,99,74,9,1
175,8.1,83,90,5,1
176,2.9,83,76,2,0
177,8.6,44,50,2,0
178,5.3,78,65,8,1
179,11.3,43,48,6,1
180,2.5,45,49,4,0
181,4.8,84,86,9,1
182,2.2,71,47,6,0
183,11.2,91,76,8,1
184,10.7,69,78,0,1
